"Reference","Value","Comments","Qty"
"C1, C2","22pF","","2"
"C3-C7","100n","","5"
"D1","5.1","Zener diod","1"
"D3","1N4148","","1"
"D4","P6KE16CA","","1"
"J1","Power_Relay","","1"
"J2","ICSP","","1"
"J3","Pilot","","1"
"J4","20x4_LCD","","1"
"J5","PZEM","","1"
"Q2","2N2222A","","1"
"R1, R6, R7","10k","","3"
"R2","1k","","1"
"R3","200k","","1"
"R4","100k","","1"
"R5","56k","","1"
"R9","470","","1"
"R10","220","","1"
"RV1","10k","","1"
"SW1","SW_Push","","1"
"SW2","Minus","","1"
"SW3","Plus","","1"
"U1","ATmega328P-A","","1"
"U2","LF353","","1"
"Y1","16MHz","","1"
